,Unnamed: 0,ticker,time,volume,bid_o,bid_h,bid_l,bid_c,mid_o,mid_h,mid_l,mid_c,ask_o,ask_h,ask_l,ask_c,RANGE,mid_h_prev,mid_l_prev,ask_h_prev,bid_l_prev,RANGE_prev,DIRECTION,DIRECTION_prev,SIGNAL,ENTRY,STOPLOSS,TAKEPROFIT
391,392,USD_JPY,2020-04-02T05:00:00.000000000Z,15900,107.477,107.477,107.138,107.301,107.484,107.484,107.146,107.309,107.492,107.492,107.155,107.317,0.33799999999999386,107.572,107.296,107.581,107.287,0.27599999999999625,-1,1,1,107.6086,107.4982,107.82939999999999
396,397,USD_JPY,2020-04-03T01:00:00.000000000Z,10263,108.058,108.112,107.794,107.971,108.066,108.122,107.802,107.979,108.073,108.131,107.811,107.987,0.3199999999999932,108.201,107.832,108.21,107.801,0.3689999999999998,-1,1,1,108.2469,108.0993,108.54209999999999
404,405,USD_JPY,2020-04-06T09:00:00.000000000Z,14227,109.181,109.262,108.836,109.032,109.19,109.27,108.844,109.04,109.198,109.277,108.852,109.047,0.42600000000000193,109.383,108.858,109.393,108.844,0.5249999999999915,-1,1,1,109.4455,109.2355,109.86549999999998
426,427,USD_JPY,2020-04-10T01:00:00.000000000Z,3352,108.553,108.553,108.309,108.415,108.565,108.565,108.327,108.432,108.577,108.58,108.341,108.448,0.23799999999999955,108.59,108.394,108.615,108.374,0.19599999999999795,-1,1,1,108.63459999999999,108.55619999999999,108.7914
429,430,USD_JPY,2020-04-10T13:00:00.000000000Z,1574,108.45,108.466,108.337,108.354,108.462,108.478,108.354,108.376,108.474,108.494,108.369,108.399,0.12399999999999523,108.481,108.37,108.506,108.357,0.11099999999999,-1,1,1,108.5171,108.4727,108.60589999999999
443,444,USD_JPY,2020-04-14T21:00:00.000000000Z,6582,107.2,107.2,106.919,107.117,107.218,107.218,106.926,107.124,107.235,107.265,106.934,107.132,0.2920000000000016,107.236,106.983,107.247,106.975,0.2530000000000001,-1,1,1,107.2723,107.1711,107.4747
451,452,USD_JPY,2020-04-16T05:00:00.000000000Z,16165,107.922,107.971,107.688,107.702,107.93,107.978,107.695,107.709,107.938,107.985,107.702,107.716,0.28300000000000125,108.084,107.698,108.092,107.691,0.3860000000000099,-1,1,1,108.1306,107.97619999999999,108.4394
468,469,USD_JPY,2020-04-21T01:00:00.000000000Z,13637,107.731,107.766,107.475,107.518,107.738,107.772,107.484,107.526,107.745,107.779,107.492,107.533,0.2880000000000109,107.794,107.602,107.802,107.552,0.19199999999999307,-1,1,1,107.8212,107.74440000000001,107.9748
474,475,USD_JPY,2020-04-22T01:00:00.000000000Z,9216,107.816,107.831,107.563,107.615,107.824,107.838,107.57,107.624,107.831,107.846,107.577,107.633,0.2680000000000007,107.87,107.679,107.877,107.651,0.1910000000000025,-1,1,1,107.89609999999999,107.81969999999998,108.04889999999999
478,479,USD_JPY,2020-04-22T17:00:00.000000000Z,6383,107.807,107.821,107.692,107.733,107.813,107.828,107.698,107.746,107.819,107.834,107.705,107.758,0.13000000000000966,107.938,107.717,107.95,107.711,0.22100000000000364,-1,1,1,107.9721,107.88369999999999,108.1489
480,481,USD_JPY,2020-04-23T01:00:00.000000000Z,7330,107.778,107.814,107.701,107.775,107.785,107.821,107.708,107.782,107.792,107.828,107.715,107.788,0.11299999999999955,107.866,107.726,107.877,107.676,0.14000000000000057,-1,1,1,107.89099999999999,107.835,108.00299999999999
488,489,USD_JPY,2020-04-24T09:00:00.000000000Z,12404,107.688,107.718,107.562,107.6,107.694,107.724,107.568,107.607,107.701,107.731,107.575,107.614,0.1560000000000059,107.738,107.598,107.744,107.592,0.14000000000000057,-1,1,1,107.758,107.702,107.86999999999999
510,511,USD_JPY,2020-04-30T01:00:00.000000000Z,8051,106.768,106.811,106.428,106.517,106.785,106.819,106.458,106.525,106.802,106.827,106.489,106.533,0.3610000000000042,106.877,106.574,106.888,106.554,0.30299999999999727,-1,1,1,106.9183,106.7971,107.1607
536,537,USD_JPY,2020-05-06T09:00:00.000000000Z,14741,106.357,106.368,106.057,106.176,106.364,106.374,106.064,106.183,106.371,106.382,106.07,106.19,0.3100000000000023,106.436,106.239,106.444,106.23,0.19700000000000273,-1,1,1,106.4637,106.3849,106.6213
546,547,USD_JPY,2020-05-08T01:00:00.000000000Z,8061,106.314,106.439,106.214,106.414,106.321,106.447,106.222,106.428,106.328,106.455,106.228,106.441,0.22500000000000853,106.459,106.267,106.466,106.218,0.19200000000000728,1,1,1,106.48519999999999,106.40839999999999,106.6388
