,time,ticker,mid_o,mid_h,mid_l,mid_c,MA_8,MA_16,MA_32,MA_64,MA_128,MA_256
3556,2023-06-20T00:00:00.000000000Z,EUR_USD,1.09236,1.09262,1.0917,1.09204,1.0889042424242423,1.0889042424242423,1.0889042424242423,1.0889042424242423,1.0889042424242423,1.0889042424242423
3557,2023-06-20T01:00:00.000000000Z,EUR_USD,1.09201,1.09224,1.0911,1.09134,1.0890271717171718,1.0890271717171718,1.0890271717171718,1.0890271717171718,1.0890271717171718,1.0890271717171718
3558,2023-06-20T02:00:00.000000000Z,EUR_USD,1.09131,1.09238,1.09106,1.09224,1.0891613131313131,1.0891613131313131,1.0891613131313131,1.0891613131313131,1.0891613131313131,1.0891613131313131
3559,2023-06-20T03:00:00.000000000Z,EUR_USD,1.09224,1.09239,1.0919,1.09198,1.089292222222222,1.089292222222222,1.089292222222222,1.089292222222222,1.089292222222222,1.089292222222222
3560,2023-06-20T04:00:00.000000000Z,EUR_USD,1.09197,1.09204,1.09129,1.09138,1.0894133333333333,1.0894133333333333,1.0894133333333333,1.0894133333333333,1.0894133333333333,1.0894133333333333
3561,2023-06-20T05:00:00.000000000Z,EUR_USD,1.09138,1.09262,1.09118,1.09262,1.0895449494949494,1.0895449494949494,1.0895449494949494,1.0895449494949494,1.0895449494949494,1.0895449494949494
3562,2023-06-20T06:00:00.000000000Z,EUR_USD,1.09262,1.09324,1.09197,1.09217,1.0896779797979799,1.0896779797979799,1.0896779797979799,1.0896779797979799,1.0896779797979799,1.0896779797979799
3563,2023-06-20T07:00:00.000000000Z,EUR_USD,1.09214,1.09462,1.09152,1.09439,1.0898336363636363,1.0898336363636363,1.0898336363636363,1.0898336363636363,1.0898336363636363,1.0898336363636363
3564,2023-06-20T08:00:00.000000000Z,EUR_USD,1.09437,1.09448,1.09318,1.0938,1.0899970707070707,1.0899970707070707,1.0899970707070707,1.0899970707070707,1.0899970707070707,1.0899970707070707
3565,2023-06-20T09:00:00.000000000Z,EUR_USD,1.09379,1.09401,1.09228,1.09252,1.0901382828282828,1.0901382828282828,1.0901382828282828,1.0901382828282828,1.0901382828282828,1.0901382828282828
3566,2023-06-20T10:00:00.000000000Z,EUR_USD,1.0925,1.09344,1.09248,1.09282,1.0902782828282827,1.0902782828282827,1.0902782828282827,1.0902782828282827,1.0902782828282827,1.0902782828282827
3567,2023-06-20T11:00:00.000000000Z,EUR_USD,1.09282,1.09322,1.0922,1.09288,1.0904062626262627,1.0904062626262627,1.0904062626262627,1.0904062626262627,1.0904062626262627,1.0904062626262627
3568,2023-06-20T12:00:00.000000000Z,EUR_USD,1.0929,1.09358,1.09121,1.09194,1.0905222222222222,1.0905222222222222,1.0905222222222222,1.0905222222222222,1.0905222222222222,1.0905222222222222
3569,2023-06-20T13:00:00.000000000Z,EUR_USD,1.09192,1.09246,1.09063,1.09167,1.0906334343434345,1.0906334343434345,1.0906334343434345,1.0906334343434345,1.0906334343434345,1.0906334343434345
3570,2023-06-20T14:00:00.000000000Z,EUR_USD,1.09166,1.09208,1.08922,1.09016,1.0907326262626262,1.0907326262626262,1.0907326262626262,1.0907326262626262,1.0907326262626262,1.0907326262626262
3571,2023-06-20T15:00:00.000000000Z,EUR_USD,1.09014,1.09098,1.08996,1.08998,1.0908019191919192,1.0908019191919192,1.0908019191919192,1.0908019191919192,1.0908019191919192,1.0908019191919192
3572,2023-06-20T16:00:00.000000000Z,EUR_USD,1.09,1.09162,1.08956,1.0915,1.0908728282828282,1.0908728282828282,1.0908728282828282,1.0908728282828282,1.0908728282828282,1.0908728282828282
3573,2023-06-20T17:00:00.000000000Z,EUR_USD,1.0915,1.09172,1.09122,1.09157,1.0909333333333333,1.0909333333333333,1.0909333333333333,1.0909333333333333,1.0909333333333333,1.0909333333333333
3574,2023-06-20T18:00:00.000000000Z,EUR_USD,1.09158,1.09176,1.09116,1.09171,1.0909930303030304,1.0909930303030304,1.0909930303030304,1.0909930303030304,1.0909930303030304,1.0909930303030304
3575,2023-06-20T19:00:00.000000000Z,EUR_USD,1.0917,1.09176,1.09098,1.09128,1.0910439393939395,1.0910439393939395,1.0910439393939395,1.0910439393939395,1.0910439393939395,1.0910439393939395
3576,2023-06-20T20:00:00.000000000Z,EUR_USD,1.09128,1.0918,1.09122,1.09179,1.091107474747475,1.091107474747475,1.091107474747475,1.091107474747475,1.091107474747475,1.091107474747475
3577,2023-06-20T21:00:00.000000000Z,EUR_USD,1.09164,1.09218,1.09164,1.0918,1.0911921212121212,1.0911921212121212,1.0911921212121212,1.0911921212121212,1.0911921212121212,1.0911921212121212
3578,2023-06-20T22:00:00.000000000Z,EUR_USD,1.0918,1.09206,1.09176,1.09198,1.0912860606060606,1.0912860606060606,1.0912860606060606,1.0912860606060606,1.0912860606060606,1.0912860606060606
3579,2023-06-20T23:00:00.000000000Z,EUR_USD,1.09197,1.09224,1.09184,1.092,1.0913753535353536,1.0913753535353536,1.0913753535353536,1.0913753535353536,1.0913753535353536,1.0913753535353536
3580,2023-06-21T00:00:00.000000000Z,EUR_USD,1.09198,1.09201,1.09146,1.0916,1.091459797979798,1.091459797979798,1.091459797979798,1.091459797979798,1.091459797979798,1.091459797979798
3581,2023-06-21T01:00:00.000000000Z,EUR_USD,1.09161,1.0917,1.09118,1.09141,1.0915423232323234,1.0915423232323234,1.0915423232323234,1.0915423232323234,1.0915423232323234,1.0915423232323234
3582,2023-06-21T02:00:00.000000000Z,EUR_USD,1.09141,1.09211,1.09118,1.09126,1.0916128282828284,1.0916128282828284,1.0916128282828284,1.0916128282828284,1.0916128282828284,1.0916128282828284
3583,2023-06-21T03:00:00.000000000Z,EUR_USD,1.09126,1.09162,1.09125,1.0915,1.091690404040404,1.091690404040404,1.091690404040404,1.091690404040404,1.091690404040404,1.091690404040404
3584,2023-06-21T04:00:00.000000000Z,EUR_USD,1.09151,1.09196,1.0914,1.09162,1.0917966666666665,1.0917966666666665,1.0917966666666665,1.0917966666666665,1.0917966666666665,1.0917966666666665
3585,2023-06-21T05:00:00.000000000Z,EUR_USD,1.09164,1.09176,1.09103,1.09123,1.0918965656565658,1.0918965656565658,1.0918965656565658,1.0918965656565658,1.0918965656565658,1.0918965656565658
3586,2023-06-21T06:00:00.000000000Z,EUR_USD,1.09117,1.09169,1.09058,1.09103,1.0919944444444445,1.0919944444444445,1.0919944444444445,1.0919944444444445,1.0919944444444445,1.0919944444444445
3587,2023-06-21T07:00:00.000000000Z,EUR_USD,1.09104,1.09199,1.09092,1.0913,1.0920968686868686,1.0920968686868686,1.0920968686868686,1.0920968686868686,1.0920968686868686,1.0920968686868686
3588,2023-06-21T08:00:00.000000000Z,EUR_USD,1.09128,1.09339,1.09094,1.0925,1.0922044444444443,1.0922044444444443,1.0922044444444443,1.0922044444444443,1.0922044444444443,1.0922044444444443
3589,2023-06-21T09:00:00.000000000Z,EUR_USD,1.09252,1.09298,1.09165,1.09167,1.0923116161616162,1.0923116161616162,1.0923116161616162,1.0923116161616162,1.0923116161616162,1.0923116161616162
3590,2023-06-21T10:00:00.000000000Z,EUR_USD,1.09166,1.0926,1.09136,1.09184,1.0924038383838384,1.0924038383838384,1.0924038383838384,1.0924038383838384,1.0924038383838384,1.0924038383838384
3591,2023-06-21T11:00:00.000000000Z,EUR_USD,1.09186,1.09269,1.09164,1.09245,1.0924964646464648,1.0924964646464648,1.0924964646464648,1.0924964646464648,1.0924964646464648,1.0924964646464648
3592,2023-06-21T12:00:00.000000000Z,EUR_USD,1.09242,1.09258,1.09082,1.09252,1.0925748484848485,1.0925748484848485,1.0925748484848485,1.0925748484848485,1.0925748484848485,1.0925748484848485
3593,2023-06-21T13:00:00.000000000Z,EUR_USD,1.0925,1.09309,1.09105,1.09266,1.09266,1.09266,1.09266,1.09266,1.09266,1.09266
3594,2023-06-21T14:00:00.000000000Z,EUR_USD,1.09266,1.09641,1.0923,1.09547,1.0927980808080808,1.0927980808080808,1.0927980808080808,1.0927980808080808,1.0927980808080808,1.0927980808080808
3595,2023-06-21T15:00:00.000000000Z,EUR_USD,1.09547,1.09564,1.09434,1.09508,1.0928854545454545,1.0928854545454545,1.0928854545454545,1.0928854545454545,1.0928854545454545,1.0928854545454545
3596,2023-06-21T16:00:00.000000000Z,EUR_USD,1.09506,1.09738,1.09497,1.09706,1.0929576767676767,1.0929576767676767,1.0929576767676767,1.0929576767676767,1.0929576767676767,1.0929576767676767
3597,2023-06-21T17:00:00.000000000Z,EUR_USD,1.09704,1.09794,1.09672,1.09774,1.0930251515151514,1.0930251515151514,1.0930251515151514,1.0930251515151514,1.0930251515151514,1.0930251515151514
3598,2023-06-21T18:00:00.000000000Z,EUR_USD,1.09774,1.09901,1.09762,1.09847,1.0930775757575757,1.0930775757575757,1.0930775757575757,1.0930775757575757,1.0930775757575757,1.0930775757575757
3599,2023-06-21T19:00:00.000000000Z,EUR_USD,1.09844,1.09895,1.09816,1.0988,1.093122222222222,1.093122222222222,1.093122222222222,1.093122222222222,1.093122222222222,1.093122222222222
3600,2023-06-21T20:00:00.000000000Z,EUR_USD,1.09878,1.09908,1.09851,1.09866,1.0931662626262626,1.0931662626262626,1.0931662626262626,1.0931662626262626,1.0931662626262626,1.0931662626262626
3601,2023-06-21T21:00:00.000000000Z,EUR_USD,1.09866,1.09869,1.09838,1.09856,1.0932018181818184,1.0932018181818184,1.0932018181818184,1.0932018181818184,1.0932018181818184,1.0932018181818184
3602,2023-06-21T22:00:00.000000000Z,EUR_USD,1.0984,1.09909,1.0984,1.09906,1.0932450505050506,1.0932450505050506,1.0932450505050506,1.0932450505050506,1.0932450505050506,1.0932450505050506
3603,2023-06-21T23:00:00.000000000Z,EUR_USD,1.09906,1.09924,1.09898,1.09916,1.093291616161616,1.093291616161616,1.093291616161616,1.093291616161616,1.093291616161616,1.093291616161616
